,RandomForest,XGBoost,CatBoost
S2_B8_m02,0.00045949027470361826,0.0,0.0
S2_B8_m03,0.00033197450150508693,0.0038749222,0.014835494599155306
S2_B8_m04,0.0001761853542724875,0.00034167018,0.07618692581832762
S2_B8_m05,0.0006586578268374232,0.0019629363,0.09120779883458953
S2_B8_m06,0.0014438442433892967,0.0,0.24886692141745803
S2_B8_m07,0.001618544462507579,0.0,0.49056451734536327
S2_B8_m08,0.0006660736444236213,9.956059e-05,0.0
S2_B8_m09,0.006929237522655508,0.0,0.12001113537777679
S2_B8_m10,0.0019363329884550975,0.0032046346,1.3335106516836515
S2_B8_m11,0.0002482059008329196,0.0,0.0008537360068807706
S2_B8_m12,0.0003423302828941084,0.0,0.0
S2_EVI_m01,0.0012060062842806868,0.002378771,0.832885794644972
S2_EVI_m02,0.0005583543742897316,0.00056765776,0.0
S2_EVI_m03,0.0015331090828759424,0.0034596042,0.48656662251328053
S2_EVI_m04,0.0039112102325484085,0.002033348,0.4518106584388802
S2_EVI_m05,0.013128112493891031,0.025350677,0.6406074024344246
S2_EVI_m06,0.016502116618495575,0.042954605,1.062260984850493
S2_EVI_m07,0.011218097503914103,0.0018721377,0.0
S2_EVI_m08,0.00411012987331558,0.0,0.000637863349106537
S2_EVI_m09,0.015576757127931827,0.0,0.34697812274401596
S2_EVI_m10,0.014655252313389367,0.0034314704,1.82075010361628
S2_EVI_m11,0.00041629792382243347,0.0,0.00013644627508557156
S2_EVI_m12,0.0009362829797547649,0.0,0.4915578620236373
S2_NDMI_m01,0.0005492687327402885,0.0,0.15769653617470208
S2_NDMI_m02,0.00026382050694225733,0.0008614451,0.07811132561348402
S2_NDMI_m03,0.00024493318220317623,0.0,0.3954466747907347
S2_NDMI_m04,0.0016239342766447712,0.0,0.42434383118455077
S2_NDMI_m05,0.0013068729072855999,0.00044704828,0.008673402734346919
S2_NDMI_m06,0.015905438224271005,0.018245762,1.5739378226201957
S2_NDMI_m07,0.021391872176473956,0.008817155,1.0870709232562459
S2_NDMI_m08,0.010603493434667145,0.004497371,0.218259672081653
S2_NDMI_m09,0.023834153017055694,0.00050925335,0.312562103622418
S2_NDMI_m10,0.0278599687053025,0.017782388,0.5499610591475147
S2_NDMI_m11,0.0002910066802917637,0.0,0.0
S2_NDMI_m12,0.0005937646950196864,0.0,0.0011133491010310813
S2_NDVI_m01,0.0017964266460716446,0.0018341991,0.18030901996665558
S2_NDVI_m02,0.000651617519791968,0.0,0.03570704418203059
S2_NDVI_m03,0.0014193247052412374,0.00060327235,0.05556782316907838
S2_NDVI_m04,0.00830640947880784,0.006333663,0.27207653567931445
S2_NDVI_m05,0.009131579913069617,0.0016523385,0.8428015380208056
S2_NDVI_m06,0.009197038558689962,0.007606867,1.4552000467698287
S2_NDVI_m07,0.01889732917177681,0.0024281628,2.7899564724927646
S2_NDVI_m08,0.005578128613624912,0.0036579364,1.5075527830057154
S2_NDVI_m09,0.014970533099207825,0.002056671,0.14410648634152265
S2_NDVI_m10,0.01570518345258672,0.006951416,2.4100663043784385
S2_NDVI_m11,0.0011025861711894032,0.0,0.3920368301621277
S2_NDVI_m12,0.000505118557109119,0.0009737912,0.08196219600632165
S2_NDWI_m01,0.0013925517767215774,0.0011658609,0.43305108809426546
S2_NDWI_m02,0.0002422558022901925,0.0,0.0
S2_NDWI_m03,0.0026556765688087705,0.0,0.19982138543221142
S2_NDWI_m04,0.009657685746919472,0.008384233,0.4324159170074914
S2_NDWI_m05,0.01605873537187276,0.0017845624,2.0406583379750467
S2_NDWI_m06,0.0015182008882495832,0.00048682475,0.050318357697883856
S2_NDWI_m07,0.012539633333756009,0.0059694364,0.06434207736171753
S2_NDWI_m08,0.004788813056552521,0.0,0.5978939339150342
S2_NDWI_m09,0.010527623205340227,0.0,0.08885816529569142
S2_NDWI_m10,0.02079051875291314,0.006051532,0.5966831029867058
S2_NDWI_m11,0.0006272797732105738,0.0,0.0
S2_NDWI_m12,0.0009667325890608521,0.0,0.04664745879900167
S2_SAVI_m01,0.0019606995622875882,0.0021372198,0.5021049019327934
S2_SAVI_m02,0.0006747165396205062,0.0,0.0
S2_SAVI_m03,0.0028122441929221225,0.001797267,0.0930844641361911
S2_SAVI_m04,0.006397516469459065,0.013454453,0.2560590581988982
S2_SAVI_m05,0.012903454322438432,0.033717394,3.3206513234450465
S2_SAVI_m06,0.013418832435022449,0.019814966,2.9392052564595677
S2_SAVI_m07,0.015408354406296032,0.015190936,0.6783349972165095
S2_SAVI_m08,0.002461132566574259,0.00024197182,0.13236943646917684
S2_SAVI_m09,0.0266144133632466,0.00027247777,0.04501356860164601
S2_SAVI_m10,0.01705395054288897,0.0071148644,1.4549577766396877
S2_SAVI_m11,0.0012359048714119811,0.0007225322,0.001585249961727635
S2_SAVI_m12,0.001164874226431076,0.0,0.0
